,,,,,,,,,,,,
,,,,,,,,,,,,
Rv tag,Mb tag,Gene,Mb length,Rv length,Rv-2 tag,Rv-2 length,% ID,AA overlap,% ID-2,AA overlap-2,Annotation,Fxnal cat
Rv0735,Mb0756,sigL, 177 aa, 177 aa ,,,100.00%,177 aa overlap,,,probable alternative rna polymerase sigma factor sigl,information pathways
Rv0736,Mb0757,rsla, 250 aa, 250 aa ,,,100.00%,250 aa overlap,,,anti-sigma factor rsla,information pathways
Rv0737,Mb0758,, 165 aa, 165 aa ,,,100.00%,165 aa overlap,,,possible transcriptional regulatory protein,regulatory proteins
Rv0738,Mb0759,, 182 aa, 182 aa ,,,100.00%,182 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0740,Mb0761,, 175 aa, 175 aa ,,,100.00%,175 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0741,Mb0762,, 104 aa, 104 aa ,,,100.00%,104 aa overlap,,,probable transposase fragment,insertion seqs and phages
Rv0742,Mb0763,PE_PGRS8, 172 aa, 172 aa ,,,100.00%,172 aa overlap,,,pe-pgrs family protein pe_pgrs8,PE/PPE
Rv0743c,Mb0764c,, 185 aa, 185 aa ,,,100.00%,185 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv0744c,Mb0765c,, 168 aa, 168 aa ,,,100.00%,168 aa overlap,,,possible transcriptional regulatory protein,regulatory proteins
Rv0745,Mb0766,, 175 aa, 175 aa ,,,100.00%,175 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0748,Mb0769,vapb31, 85 aa, 85 aa ,,,100.00%,85 aa overlap,,,possible antitoxin vapb31,"virulence, detoxification,adaptation"
Rv0749,Mb0770,vapc31, 142 aa, 142 aa ,,,100.00%,142 aa overlap,,,possible toxin vapc31. contains pin domain.,"virulence, detoxification,adaptation"
Rv0749A,Mb0771c,, 45 aa, 45 aa ,,,100.00%,45 aa overlap,,,hypothetical protein fragment,Conserved hypothetical protein
Rv0750,Mb0772,, 81 aa, 81 aa ,,,100.00%,81 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0751c,Mb0773c,mmsB, 294 aa, 294 aa ,,,100.00%,294 aa overlap,,,probable 3-hydroxyisobutyrate dehydrogenase mmsb hibadh,intermediate metabolism and respiration
Rv0754,Mb0776,PE_PGRS11, 584 aa, 584 aa ,,,100.00%,584 aa overlap,,,pe-pgrs family protein pe_pgrs11,PE/PPE
Rv0755A,Mb0778c,, 61 aa, 61 aa ,,,100.00%,61 aa overlap,,,putative transposase fragment,insertion seqs and phages
Rv0756c,Mb0779c,, 241 aa, 241 aa ,,,100.00%,241 aa overlap,,,unknown protein,Conserved hypothetical protein
Rv0757,Mb0780,phoP, 247 aa, 247 aa ,,,100.00%,247 aa overlap,,,possible two component system response transcriptional positive regulator phop,regulatory proteins
Rv0759c,Mb0782c,, 110 aa, 110 aa ,,,100.00%,110 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0760c,Mb0783c,, 139 aa, 139 aa ,,,100.00%,139 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0761c,Mb0784c,adhB, 375 aa, 375 aa ,,,100.00%,375 aa overlap,,,possible zinc-containing alcohol dehydrogenase nad dependent adhb,intermediate metabolism and respiration
Rv0762c,Mb0785c,, 181 aa, 181 aa ,,,100.00%,181 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0763c,Mb0786c,, 68 aa, 68 aa ,,,100.00%,68 aa overlap,,,possible ferredoxin,intermediate metabolism and respiration
Rv0764c,Mb0787c,cyp51, 451 aa, 451 aa ,,,100.00%,451 aa overlap,,,cytochrome p450 51 cyp51 cypl1 p450-l1a1 sterol 14-alpha demethylase lanosterol 14-alpha demethylase p450-14dm,intermediate metabolism and respiration
Rv0765c,Mb0788c,, 275 aa, 275 aa ,,,100.00%,275 aa overlap,,,probable oxidoreductase,intermediate metabolism and respiration
Rv0766c,Mb0789c,cyp123, 402 aa, 402 aa ,,,100.00%,402 aa overlap,,,probable cytochrome p450 123 cyp123,intermediate metabolism and respiration
Rv0767c,Mb0790c,, 213 aa, 213 aa ,,,100.00%,213 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0768,Mb0791,aldA, 489 aa, 489 aa ,,,100.00%,489 aa overlap,,,probable aldehyde dehydrogenase nad dependent alda aldehyde dehydrogenase [nadb],intermediate metabolism and respiration
Rv0771,Mb0794,, 144 aa, 144 aa ,,,100.00%,144 aa overlap,,,possible 4-carboxymuconolactone decarboxylase cmd,intermediate metabolism and respiration
Rv0772,Mb0795,purD, 422 aa, 422 aa ,,,100.00%,422 aa overlap,,,probable phosphoribosylamine--glycine ligase purd gars glycinamide ribonucleotide synthetase phosphoribosylglycinamide synthetase 5'-phosphoribosylglycinamide synthetase,intermediate metabolism and respiration
Rv0773c,Mb0796c,ggtA, 512 aa, 512 aa ,,,100.00%,512 aa overlap,,,probable bifunctional acylase ggta: cephalosporin acylase gl-7aca acylase b gamma-glutamyltranspeptidase ggt,intermediate metabolism and respiration
Rv0775,Mb0798,, 207 aa, 207 aa ,,,100.00%,207 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0776c,Mb0799c,, 259 aa, 259 aa ,,,100.00%,259 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0778,Mb0801,cyp126, 414 aa, 414 aa ,,,100.00%,414 aa overlap,,,possible cytochrome p450 126 cyp126,intermediate metabolism and respiration
Rv0779c,Mb0802c,, 206 aa, 206 aa ,,,100.00%,206 aa overlap,,,possible conserved transmembrane protein,cell wall and cell processes
Rv0780,Mb0803,purC, 297 aa, 297 aa ,,,100.00%,297 aa overlap,,,phosphoribosylaminoimidazole-succinocarboxamide synthase purc saicar synthetase,intermediate metabolism and respiration
Rv0783c,Mb0805c,emrB, 540 aa, 540 aa ,,,100.00%,540 aa overlap,,,possible multidrug resistance integral membrane efflux protein emrb,cell wall and cell processes
Rv0784,Mb0806,, 228 aa, 228 aa ,,,100.00%,228 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0786c,Mb0809c,, 129 aa, 129 aa ,,,100.00%,129 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0787A,Mb0811,, 79 aa, 79 aa ,,,100.00%,78 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0788,Mb0812,purQ, 224 aa, 224 aa ,,,100.00%,224 aa overlap,,,probable phosphoribosylformylglycinamidine synthase i purg fgam synthase i,intermediate metabolism and respiration
Rv0789c,Mb0813c,, 199 aa, 199 aa ,,,100.00%,199 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv0790c,Mb0814c,, 242 aa, 242 aa ,,,100.00%,242 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv0791c,Mb0815c,, 347 aa, 347 aa ,,,100.00%,347 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0792c,Mb0816c,, 269 aa, 269 aa ,,,100.00%,269 aa overlap,,,probable transcriptional regulatory protein probably gntr-family,regulatory proteins
Rv0793,Mb0817,, 101 aa, 101 aa ,,,100.00%,101 aa overlap,,,possible monooxygenase,intermediate metabolism and respiration
Rv0798c,Mb0821c,cfp29, 265 aa, 265 aa ,,,100.00%,265 aa overlap,,,29 kda antigen cfp29,"virulence, detoxification,adaptation"
Rv0799c,Mb0822c,, 335 aa, 335 aa ,,,100.00%,335 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0801,Mb0824,, 115 aa, 115 aa ,,,100.00%,115 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0802c,Mb0825c,, 218 aa, 218 aa ,,,100.00%,218 aa overlap,,,possible succinyltransferase in the gcn5-related n-acetyltransferase family,intermediate metabolism and respiration
Rv0803,Mb0826,purL, 754 aa, 754 aa ,,,100.00%,754 aa overlap,,,phosphoribosylformylglycinamidine synthase ii purl fgam synthase ii,intermediate metabolism and respiration
Rv0804,Mb0827,, 209 aa, 209 aa ,,,100.00%,209 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0805,Mb0828,, 318 aa, 318 aa ,,,100.00%,318 aa overlap,,,class iii cyclic nucleotide phosphodiesterase cnmp pde,intermediate metabolism and respiration
Rv0806c,Mb0829c,cpsY, 532 aa, 532 aa ,,,100.00%,532 aa overlap,,,possible udp-glucose-4-epimerase cpsy galactowaldenase udp-galactose-4-epimerase uridine diphosphate galactose-4-epimerase uridine diphospho-galactose-4-epimerase,cell wall and cell processes
Rv0807,Mb0830,, 129 aa, 129 aa ,,,100.00%,129 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0808,Mb0831,purF, 527 aa, 527 aa ,,,100.00%,527 aa overlap,,,amidophosphoribosyltransferase purf glutamine phosphoribosylpyrophosphate amidotransferase atase gpatase,intermediate metabolism and respiration
Rv0809,Mb0832,purM, 364 aa, 364 aa ,,,100.00%,364 aa overlap,,,probable phosphoribosylformylglycinamidine cyclo-ligase purm airs phosphoribosyl-aminoimidazole synthetase air synthase,intermediate metabolism and respiration
Rv0810c,Mb0833c,, 60 aa, 60 aa ,,,100.00%,60 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0811c,Mb0834c,, 368 aa, 368 aa ,,,100.00%,368 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0813c,Mb0836c,, 226 aa, 226 aa ,,,100.00%,226 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0814c,Mb0837c,sseC2, 100 aa, 100 aa ,,,100.00%,100 aa overlap,,,conserved protein ssec2,intermediate metabolism and respiration
Rv0815c,Mb0838c,cysA2, 277 aa, 277 aa ,,,100.00%,277 aa overlap,,,probable thiosulfate sulfurtransferase cysa2 rhodanese-like protein thiosulfate cyanide transsulfurase thiosulfate thiotransferase,intermediate metabolism and respiration
Rv0816c,Mb0839c,thiX, 140 aa, 140 aa ,,,100.00%,140 aa overlap,,,probable thioredoxin thix,intermediate metabolism and respiration
Rv0817c,Mb0840c,, 270 aa, 270 aa ,,,100.00%,270 aa overlap,,,probable conserved exported protein,cell wall and cell processes
Rv0819,Mb0842,mshd, 315 aa, 315 aa ,,,100.00%,315 aa overlap,,,gcn5-related n-acetyltransferasec mshd,intermediate metabolism and respiration
Rv0821c,Mb0844c,phoY2, 213 aa, 213 aa ,,,100.00%,213 aa overlap,,,probable phosphate-transport system transcriptional regulatory protein phoy2,cell wall and cell processes
Rv0824c,Mb0847c,desA1, 338 aa, 338 aa ,,,100.00%,338 aa overlap,,,probable acyl-[acyl-carrier protein] desaturase desa1 acyl-[acp] desaturase stearoyl-acp desaturase protein des,lipid metabolism
Rv0825c,Mb0848c,, 213 aa, 213 aa ,,,100.00%,213 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0827c,Mb0850c,kmtr, 130 aa, 130 aa ,,,100.00%,130 aa overlap,,,metal sensor transcriptional regulator kmtr arsr-smtb family,regulatory proteins
Rv0828c,Mb0851c,, 140 aa, 140 aa ,,,100.00%,140 aa overlap,,,possible deaminase,intermediate metabolism and respiration
Rv0830,Mb0853,, 301 aa, 301 aa ,,,100.00%,301 aa overlap,,,possible s-adenosylmethionine-dependent methyltransferase,lipid metabolism
Rv0831c,Mb0854c,, 271 aa, 271 aa ,,,100.00%,271 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0832,Mb0855,PE_PGRS12, 137 aa, 137 aa ,,,100.00%,137 aa overlap,,,pe-pgrs family protein pe_pgrs12,PE/PPE
Rv0837c,Mb0860c,, 342 aa, 342 aa ,,,100.00%,342 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv0839,Mb0862,, 270 aa, 270 aa ,,,100.00%,270 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0840c,Mb0863c,pip, 286 aa, 286 aa ,,,100.00%,286 aa overlap,,,probable proline iminopeptidase pip prolyl aminopeptidase pap,intermediate metabolism and respiration
Rv0842,Mb0865,, 430 aa, 430 aa ,,,100.00%,430 aa overlap,,,probable conserved integral membrane protein,cell wall and cell processes
Rv0849,Mb0872,, 419 aa, 419 aa ,,,100.00%,419 aa overlap,,,probable conserved integral membrane transport protein,cell wall and cell processes
Rv0850,Mb0873,, 110 aa, 110 aa ,,,100.00%,110 aa overlap,,,putative transposase fragment,insertion seqs and phages
Rv0852,Mb0875,fadD16, 278 aa, 278 aa ,,,100.00%,278 aa overlap,,,possible fatty-acid-coa ligase fadd16 fatty-acid-coa synthetase fatty-acid-coa synthase,lipid metabolism
Rv0853c,Mb0876c,pdc, 560 aa, 560 aa ,,,100.00%,560 aa overlap,,,probable pyruvate or indole-3-pyruvate decarboxylase pdc,intermediate metabolism and respiration
Rv0854,Mb0877,, 147 aa, 147 aa ,,,100.00%,147 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0855,Mb0878,far, 359 aa, 359 aa ,,,100.00%,359 aa overlap,,,probable fatty-acid-coa racemase far,lipid metabolism
Rv0856,Mb0879,, 134 aa, 134 aa ,,,100.00%,134 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0857,Mb0880,, 157 aa, 157 aa ,,,100.00%,157 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0858c,Mb0881c,dapc, 397 aa, 397 aa ,,,100.00%,397 aa overlap,,,probable n-succinyldiaminopimelate aminotransferase dapc dap-at,intermediate metabolism and respiration
Rv0863,Mb0886,, 93 aa, 93 aa ,,,100.00%,93 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0865,Mb0889,mog, 160 aa, 160 aa ,,,100.00%,160 aa overlap,,,probable molybdopterin biosynthesis mog protein,intermediate metabolism and respiration
Rv0866,Mb0890,moaE2, 141 aa, 141 aa ,,,100.00%,141 aa overlap,,,probable molybdenum cofactor biosynthesis protein e2 moae2 molybdopterin converting factor large subunit molybdopterin [mpt] converting factorc subunit 2,intermediate metabolism and respiration
Rv0868c,Mb0892c,moaD2, 92 aa, 92 aa ,,,100.00%,92 aa overlap,,,probable molybdenum cofactor biosynthesis protein d 2 moad2 molybdopterin converting factor small subunit molybdopterin [mpt] converting factorc subunit 1,intermediate metabolism and respiration
Rv0869c,Mb0893c,moaA2, 360 aa, 360 aa ,,,100.00%,360 aa overlap,,,probable molybdenum cofactor biosynthesis protein a2 moaa2,intermediate metabolism and respiration
Rv0871,Mb0895,cspB, 135 aa, 135 aa ,,,100.00%,135 aa overlap,,,probable cold shock-like protein b cspb,"virulence, detoxification,adaptation"
Rv0873,Mb0897,fadE10, 650 aa, 650 aa ,,,100.00%,650 aa overlap,,,probable acyl-coa dehydrogenase fade10,lipid metabolism
Rv0874c,Mb0898c,, 386 aa, 386 aa ,,,100.00%,386 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0875c,Mb0899c,, 162 aa, 162 aa ,,,100.00%,162 aa overlap,,,possible conserved exported protein,cell wall and cell processes
Rv0877,Mb0901,, 262 aa, 262 aa ,,,100.00%,262 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0879c,Mb0903c,, 91 aa, 91 aa ,,,100.00%,91 aa overlap,,,possible conserved transmembrane protein,cell wall and cell processes
Rv0880,Mb0904,, 143 aa, 143 aa ,,,100.00%,143 aa overlap,,,possible transcriptional regulatory protein possibly marr-family,regulatory proteins
Rv0882,Mb0906,, 94 aa, 94 aa ,,,100.00%,94 aa overlap,,,probable transmembrane protein,cell wall and cell processes
Rv0883c,Mb0907c,, 253 aa, 253 aa ,,,100.00%,253 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0884c,Mb0908c,serC, 376 aa, 376 aa ,,,100.00%,376 aa overlap,,,possible phosphoserine aminotransferase serc psat,intermediate metabolism and respiration
Rv0885,Mb0909,, 340 aa, 340 aa ,,,100.00%,340 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0886,Mb0910,fprB, 575 aa, 575 aa ,,,100.00%,575 aa overlap,,,probable nadph:adrenodoxin oxidoreductase fprb adrenodoxin reductase ar ferredoxin-nadpb reductase,intermediate metabolism and respiration
Rv0887c,Mb0911c,, 152 aa, 152 aa ,,,100.00%,152 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0888,Mb0912,, 490 aa, 490 aa ,,,100.00%,490 aa overlap,,,probable exported protein,cell wall and cell processes
Rv0889c,Mb0913c,citA, 373 aa, 373 aa ,,,100.00%,373 aa overlap,,,probable citrate synthase ii cita,intermediate metabolism and respiration
Rv0892,Mb0916,, 495 aa, 495 aa ,,,100.00%,495 aa overlap,,,probable monooxygenase,intermediate metabolism and respiration
Rv0893c,Mb0917c,, 325 aa, 325 aa ,,,100.00%,325 aa overlap,,,possible s-adenosylmethionine-dependent methyltransferase,lipid metabolism
Rv0894,Mb0918,, 393 aa, 393 aa ,,,100.00%,393 aa overlap,,,possible transcriptional regulatory protein possibly luxr-family,regulatory proteins
Rv0895,Mb0919,, 505 aa, 505 aa ,,,100.00%,505 aa overlap,,,possible triacylglycerol synthase diacylglycerol acyltransferase,lipid metabolism
Rv0897c,Mb0921c,, 535 aa, 535 aa ,,,100%,535 aa overlap,,,probable oxidoreductase,intermediate metabolism and respiration
Rv0898c,Mb0922c,, 87 aa, 87 aa ,,,100%,87 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0899,Mb0923,ompA, 326 aa, 326 aa ,,,100%,326 aa overlap,,,outer membrane protein a ompa,cell wall and cell processes
Rv0900,Mb0924,, 50 aa, 50 aa ,,,100%,50 aa overlap,,,possible membrane protein,cell wall and cell processes
Rv0901,Mb0925,, 175 aa, 175 aa ,,,100%,175 aa overlap,,,possible conserved exported or membrane protein,cell wall and cell processes
Rv0902c,Mb0926c,prrB, 446 aa, 446 aa ,,,100%,446 aa overlap,,,two component sensor histidine kinase prrb,regulatory proteins
Rv0903c,Mb0927c,prrA, 236 aa, 236 aa ,,,100%,236 aa overlap,,,two component response transcriptional regulatory protein prra,regulatory proteins
Rv0904c,Mb0928c,accD3, 495 aa, 495 aa ,,,100%,495 aa overlap,,,putative acetyl-coenzyme a carboxylase carboxyl transferase subunit beta accd3 accase beta chain,lipid metabolism
Rv0905,Mb0929,echA6, 243 aa, 243 aa ,,,100%,243 aa overlap,,,possible enoyl-coa hydratase echa6 enoyl hydrase unsaturated acyl-coa hydratase crotonase,lipid metabolism
Rv0906,Mb0930,, 372 aa, 372 aa ,,,100%,372 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0908,Mb0932,ctpE, 797 aa, 797 aa ,,,100%,797 aa overlap,,,probable metal cation transporter atpase p-type ctpe,cell wall and cell processes
Rv0910,Mb0934,, 144 aa, 144 aa ,,,100%,144 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0911,Mb0935,, 257 aa, 257 aa ,,,100%,257 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0912,Mb0936,, 149 aa, 149 aa ,,,100%,149 aa overlap,,,probable conserved transmembrane protein,cell wall and cell processes
Rv0914c,Mb0938c,, 412 aa, 412 aa ,,,100%,412 aa overlap,,,possible lipid carrier protein or keto acyl-coa thiolase,lipid metabolism
Rv0915c,Mb0939c,PPE14, 423 aa, 423 aa ,,,100%,423 aa overlap,,,ppe family protein ppe14,PE/PPE
Rv0916c,Mb0940c,PE7, 99 aa, 99 aa ,,,100%,99 aa overlap,,,pe family protein pe7,PE/PPE
Rv0917,Mb0941,betP, 593 aa, 593 aa ,,,100%,593 aa overlap,,,possible glycine betaine transport integral membrane protein betp,cell wall and cell processes
Rv0919,Mb0943,, 166 aa, 166 aa ,,,100%,166 aa overlap,,,gcn5-related n-acetyltransferase,intermediate metabolism and respiration
Rv0921,Mb0945,, 193 aa, 193 aa ,,,100%,193 aa overlap,,,possible resolvase,insertion seqs and phages
Rv0922,Mb0946,, 550 aa, 550 aa ,,,100%,550 aa overlap,,,possible transposase,insertion seqs and phages
Rv0923c,Mb0947c,, 354 aa, 354 aa ,,,100%,354 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0926c,Mb0949c,, 358 aa, 358 aa ,,,100%,358 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0927c,Mb0950c,, 263 aa, 263 aa ,,,100%,263 aa overlap,,,probable short-chain type dehydrogenase/reductase,intermediate metabolism and respiration
Rv0928,Mb0951,pstS3, 370 aa, 370 aa ,,,100%,370 aa overlap,,,periplasmic phosphate-binding lipoprotein psts3 pbp-3 psts3 phos1,cell wall and cell processes
Rv0929,Mb0952,pstC2, 324 aa, 324 aa ,,,100%,324 aa overlap,,,phosphate-transport integral membrane abc transporter pstc2,cell wall and cell processes
Rv0935,Mb0960,pstC1, 338 aa, 338 aa ,,,100%,338 aa overlap,,,phosphate-transport integral membrane abc transporter pstc1,cell wall and cell processes
Rv0936,Mb0961,pstA2, 301 aa, 301 aa ,,,100%,301 aa overlap,,,phosphate-transport integral membrane abc transporter psta2,cell wall and cell processes
Rv0937c,Mb0962c,mku, 273 aa, 273 aa ,,,100%,273 aa overlap,,,dna end-binding proteinc mku,information pathways
Rv0939,Mb0964,, 644 aa, 644 aa ,,,100%,644 aa overlap,,,possible bifunctional enzyme: 2-hydroxyhepta-2c4-diene-1c7-dioate isomerase hhdd isomerase b cyclase/dehydrase,intermediate metabolism and respiration
Rv0940c,Mb0965c,, 288 aa, 288 aa ,,,100%,288 aa overlap,,,possible oxidoreductase,intermediate metabolism and respiration
Rv0941c,Mb0966c,, 257 aa, 257 aa ,,,100%,257 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0942,Mb0967,, 92 aa, 92 aa ,,,100%,92 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv0943c,Mb0968c,, 346 aa, 346 aa ,,,100%,346 aa overlap,,,probable monooxygenase,intermediate metabolism and respiration
Rv0944,Mb0969,, 158 aa, 158 aa ,,,100%,158 aa overlap,,,possible formamidopyrimidine-dna glycosylase fapy-dna glycosylase,information pathways
Rv0946c,Mb0971c,pgi, 553 aa, 553 aa ,,,100%,553 aa overlap,,,probable glucose-6-phosphate isomerase pgi gpi phosphoglucose isomerase phosphohexose isomerase phi,intermediate metabolism and respiration
Rv0947c,Mb0972c,, 76 aa, 76 aa ,,,100%,76 aa overlap,,,probable mycolyl transferasec pseudogene,lipid metabolism
Rv0948c,Mb0973c,, 105 aa, 105 aa ,,,100%,105 aa overlap,,,chorismate mutase,intermediate metabolism and respiration
Rv0949,Mb0974,uvrD1, 771 aa, 771 aa ,,,100%,771 aa overlap,,,probable atp-dependent dna helicase ii uvrd1,information pathways
Rv0950c,Mb0975c,, 332 aa, 332 aa ,,,100%,332 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0953c,Mb0978c,, 282 aa, 282 aa ,,,100%,282 aa overlap,,,possible oxidoreductase,intermediate metabolism and respiration
Rv0954,Mb0979,, 303 aa, 303 aa ,,,100%,303 aa overlap,,,probable conserved transmembrane protein,cell wall and cell processes
Rv0955,Mb0980,, 455 aa, 455 aa ,,,100%,455 aa overlap,,,probable conserved integral membrane protein,cell wall and cell processes
Rv0956,Mb0981,purN, 215 aa, 215 aa ,,,100%,215 aa overlap,,,probable 5'-phosphoribosylglycinamide formyltransferase purn gart gar transformylase 5'-phosphoribosylglycinamide transformylase,intermediate metabolism and respiration
Rv0957,Mb0982,purH, 523 aa, 523 aa ,,,100%,523 aa overlap,,,probable bifunctional purine biosynthesis protein purh: phosphoribosylaminoimidazolecarboxamide formyltransferase aicar transformylase 5'-phosphoribosyl-5-aminoimidazole-4-carboxamide formyltransferase b inosinemonophosphate cyclohydrolase imp cyclohydrolase inosinicase imp synthetase atic,intermediate metabolism and respiration
Rv0959,Mb0984,, 672 aa, 672 aa ,,,100%,672 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0959A,Mb0984A,vapB9, 73 aa, 73 aa ,,,100.00%,73 aa overlap,,,possible antitoxin vapb9,"virulence, detoxification,adaptation"
Rv0960,Mb0985,vapc9, 127 aa, 127 aa ,,,100%,127 aa overlap,,,possible toxin vapc9,"virulence, detoxification,adaptation"
Rv0961,Mb0986,, 115 aa, 115 aa ,,,100%,115 aa overlap,,,probable integral membrane protein,cell wall and cell processes
Rv0963c,Mb0988c,, 266 aa, 266 aa ,,,100%,266 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0967,Mb0992,csor, 119 aa, 119 aa ,,,100%,119 aa overlap,,,copper-sensitive operon repressor csor,regulatory proteins
Rv0968,Mb0993,, 98 aa, 98 aa ,,,100%,98 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv0970,Mb0995,, 210 aa, 210 aa ,,,100%,210 aa overlap,,,probable conserved integral membrane protein,cell wall and cell processes
Rv0971c,Mb0996c,echA7, 269 aa, 269 aa ,,,100%,269 aa overlap,,,probable enoyl-coa hydratase echa7 enoyl hydrase unsaturated acyl-coa hydratase crotonase,lipid metabolism
Rv0976c,Mb1001c,, 560 aa, 560 aa ,,,100%,560 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0977,Mb1002,PE_PGRS16, 923 aa, 923 aa ,,,100%,923 aa overlap,,,pe-pgrs family protein pe_pgrs16,PE/PPE
Rv0979c,Mb1004c,, 64 aa, 64 aa ,,,100%,64 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv0979A,Mb1005,rpmF, 57 aa, 57 aa ,,,100%,57 aa overlap,,,50s ribosomal protein l32 rpmf,information pathways
Rv0984,Mb1010,moaB2, 181 aa, 181 aa ,,,100%,181 aa overlap,,,possible pterin-4-alpha-carbinolamine dehydratase moab2 phs 4-alpha-hydroxy-tetrahydropterin dehydratase pterin-4-a-carbinolamine dehydratase phenylalanine hydroxylase-stimulating protein phs pterin carbinolamine dehydratase pcd,intermediate metabolism and respiration
Rv0985c,Mb1011c,mscL, 151 aa, 151 aa ,,,100%,151 aa overlap,,,possible large-conductance ion mechanosensitive channel mscl,cell wall and cell processes
Rv0991c,Mb1018c,, 110 aa, 110 aa ,,,100%,110 aa overlap,,,conserved serine rich protein,Conserved hypothetical protein
Rv0995,Mb1022,rimJ, 203 aa, 203 aa ,,,100%,203 aa overlap,,,ribosomal-protein-alanine acetyltransferase rimj acetylating enzyme for n-terminal of ribosomal protein s5,information pathways
Rv0997,Mb1024,, 143 aa, 143 aa ,,,100%,143 aa overlap,,,hypothetical protein,Conserved hypothetical protein
Rv0998,Mb1025,, 333 aa, 333 aa ,,,100%,333 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv0999,Mb1026,, 252 aa, 252 aa ,,,100%,252 aa overlap,,,unknown protein,Conserved hypothetical protein
Rv1000c,Mb1027c,, 205 aa, 205 aa ,,,100%,205 aa overlap,,,conserved hypothetical protein,Conserved hypothetical protein
Rv1001,Mb1028,arcA, 402 aa, 402 aa ,,,100%,402 aa overlap,,,probable arginine deiminase arca adi ad arginine dihydrolase,intermediate metabolism and respiration
Rv1003,Mb1030,, 285 aa, 285 aa ,,,100%,285 aa overlap,,,conserved protein,Conserved hypothetical protein
Rv1004c,Mb1031c,, 419 aa, 419 aa ,,,100%,419 aa overlap,,,probable membrane protein,cell wall and cell processes
Rv1010,Mb1037,ksgA, 317 aa, 317 aa ,,,100%,317 aa overlap,,,probable dimethyladenosine transferase ksga s-adenosylmethionine-6-n'c n'-adenosylrrna dimethyltransferase 16s rrna dimethylase high level kasugamycin resistance protein ksga kasugamycin dimethyltransferase,information pathways
Rv1011,Mb1038,ispE, 306 aa, 306 aa ,,,100%,306 aa overlap,,,probable 4-diphosphocytidyl-2-c-methyl-d-erythritol kinase ispe cmk 4-cytidine-5'-diphospho-2-c-methyl-d-erythritol kinase,intermediate metabolism and respiration
