gene	bovis_call	mtb_call
secD	NE	ES
secE1	ES	ES
secE2	NE	NE
secF	ES	GD
secG	NE	NE
secY	ES	ES
senX3	NE	NE
serA1	NE	ES
serA2	NE	NE
serB1	NE	NE
serB2	ES	ES
serC	NE	ES
serS	NE	ES
sigA	NE	ES
sigB	NE	NE
sigC	NE	NE
sigD	NE	NE
sigE	NE	NE
sigF	NE	GA
sigG	NE	NE
sigH	NE	NE
sigI	NE	NE
sigJ	NE	NE
sigK	NE	NE
sigL	NE	NE
sirR	NE	NE
smc	NE	NE
smpB	NE	NE
sodA	NE	ES
sodC	NE	NE
speE	NE	NE
spoU	NE	NE
sppA	NE	NE
ssb	NE	ES
sseA	NE	NE
sseB	NE	NE
sthA	NE	GA
subI	NE	GD
sucC	ES	ES
sucD	NE	ES
sugA	NE	NE
sugB	NE	NE
sugC	NE	NE
sugI	NE	NE
suhB	NE	NE
tagA	NE	NE
tal	ES	NE
tam	NE	NE
tatA	NE	NE
tatB	NE	GD
tatC	NE	GD
tatD	NE	NE
TB15.3	NE	ES
TB16.3	NE	NE
TB18.5	NE	ES
TB18.6	NE	NE
TB22.2	NE	NE
TB27.3	NE	NE
TB31.7	NE	NE
TB7.3	NE	NE
TB9.4	NE	NE
tcrA	NE	NE
tesA	GA	NE
tesB1	GD	NE
tesB2	NE	NE
thiC	NE	ES
thiD	ES	GD
thiE	ES	ES
thiG	NE	ES
thiL	NE	ES
thiO	ES	ES
thiS	ES	ES
thiX	ES	GA
thrA	ES	ES
thrB	ES	ES
thrC	ES	ES
thrS	NE	ES
thyA	NE	GD
tig	NE	NE
tkt	NE	ES
tlyA	ES	NE
tmk	ES	ES
topA	NE	ES
tpi	NE	ES
tpx	NE	NE
trcR	NE	GA
trcS	NE	NE
treS	NE	NE
treX	ES	NE
treZ	GD	NE
trmD	ES	GD
trmU	ES	NE
trpA	ES	ES
trpB	ES	ES
trpC	ES	ES
trpD	ES	GD
trpE	NE	ES
trpG	ES	ES
trpS	NE	ES
truA	GD	GD
truB	GD	NE
trxA	NE	NE
trxB1	NE	NE
trxB2	NE	ES
trxC	ES	NE
tsf	ES	ES
tsnR	NE	GA
tuf	NE	ES
typA	ES	NE
tyrA	NE	ES
tyrS	NE	ES
udgA	NE	NE
ufaA1	NE	NE
ugpB	NE	NE
ugpC	NE	NE
ugpE	NE	NE
ung	NE	NE
upp	NE	NE
ureA	NE	NE
ureB	NE	NE
ureC	NE	NE
ureD	ES	NE
ureF	NE	NE
ureG	NE	NE
usfY	NE	GA
uspA	NE	NE
uspB	NE	NE
uspC	NE	NE
uvrA	NE	NE
uvrB	NE	NE
uvrC	NE	NE
uvrD1	NE	NE
valS	NE	ES
virS	NE	NE
viuB	NE	NE
wag31	NE	ES
wbbL1	ES	GD
wbbL2	NE	NE
whiA	NE	ES
whiB1	NE	GD
whiB2	GD	NE
whiB3	ES	NE
whiB4	ES	NE
whiB5	ES	NE
whiB6	NE	NE
whiB7	ES	NE
xerC	NE	NE
xseA	NE	NE
xseB	NE	NE
xthA	NE	NE
xylB	NE	NE
yfiH	ES	NE
yjcE	NE	NE
yrbE1A	NE	NE
yrbE1B	NE	NE
yrbE2A	NE	NE
yrbE3A	NE	NE
yrbE4A	NE	NE
yrbE4B	NE	GA
zwf1	ES	NE
zwf2	NE	NE
