Mbovis	Mtb	gene	func_cat	i/v	alteration	ess_bovis	ess_mtb
Mb0846c	Rv0823c	-	regulatory proteins	Variable	Non-syn SNP(s)	ES	GA
Mb0847c	Rv0824c	desA1	lipid metabolism	Identical		NE	ES
Mb0848c	Rv0825c	-	Conserved hypothetical protein	Identical		NE	GA
Mb0849	Rv0826	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	GA
Mb0850c	Rv0827c	-	regulatory proteins	Identical		NE	GA
Mb0851c	Rv0828c	-	intermediate metabolism and respiration	Identical		NE	GA
Mb0852	Rv0829	-	insertion seqs and phages	Variable	Non-syn SNP(s)	NE	0
Mb0853	Rv0830	-	lipid metabolism	Identical		NE	GA
Mb0854c	Rv0831c	-	Conserved hypothetical protein	Identical		NE	GA
Mb0855	Rv0832	PE_PGRS12	PE/PPE	Identical		NE	NE
Mb0856	Rv0833	PE_PGRS13	PE/PPE	Variable	Elongated protein in M. bovis	NE	NE
Mb0857c	Rv0834c	PE_PGRS14	PE/PPE	Variable	Truncated protein in M. bovis	NE	NE
Mb0858	Rv0835	lpqQ	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0859c	Rv0836c	-	conserved hypotheticals 	Variable	Elongated protein in M. bovis AF2122/97	NE	NE
Mb0860c	Rv0837c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0861	Rv0838	lpqR	cell wall and cell processes	Variable	Insertion, Elongated protein in M. bovis AF2122/97	NE	NE
Mb0862	Rv0839	-	Conserved hypothetical protein	Identical		NE	NE
Mb0863c	Rv0840c	pip	intermediate metabolism and respiration	Identical		NE	NE
Mb0864	Rv0841	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0865	Rv0842	-	cell wall and cell processes	Identical		NE	NE
Mb0866	Rv0843	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0867c	Rv0844c	narL	regulatory proteins	Variable	Non-syn SNP(s)	NE	NE
Mb0868	Rv0845	-	regulatory proteins	Variable	Non-syn SNP(s)	NE	NE
Mb0869c	Rv0846c	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0870	Rv0847	lpqS	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0871	Rv0848	cysK2	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0872	Rv0849	-	cell wall and cell processes	Identical		NE	NE
Mb0873	Rv0850	-	insertion seqs and phages	Identical		NE	0
Mb0874c	Rv0851c	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0875	Rv0852	fadD16	lipid metabolism	Identical		NE	NE
Mb0876c	Rv0853c	pdc	intermediate metabolism and respiration	Identical		NE	NE
Mb0877	Rv0854	-	Conserved hypothetical protein	Identical		NE	NE
Mb0878	Rv0855	far	lipid metabolism	Identical		NE	NE
Mb0879	Rv0856	-	Conserved hypothetical protein	Identical		NE	NE
Mb0880	Rv0857	-	Conserved hypothetical protein	Identical		NE	NE
Mb0881c	Rv0858c	-	intermediate metabolism and respiration	Identical		GD	NE
Mb0882	Rv0859	fadA	lipid metabolism	Variable	Non-syn SNP(s)	GD	NE
Mb0883	Rv0860	fadB	lipid metabolism	Variable	Non-syn SNP(s)	NE	NE
Mb0884c	Rv0861c	-	information pathways	Variable	Non-syn SNP(s)	NE	NE
Mb0885c	Rv0862c	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb0886	Rv0863	-	Conserved hypothetical protein	Identical		NE	NE
Mb0888	Rv0864	moaC2	intermediary metabolism and respiration	Variable	Elongated protein in M. bovis AF2122/97	NE	NE
Mb0889	Rv0865	mog	intermediate metabolism and respiration	Identical		NE	NE
Mb0890	Rv0866	moaE2	intermediate metabolism and respiration	Identical		NE	GA
Mb0891c	Rv0867c	rpfA	cell wall and cell processes	Variable	Truncated protein in M. bovis AF2122/97	NE	GA
Mb0892c	Rv0868c	moaD2	intermediate metabolism and respiration	Identical		NE	NE
Mb0893c	Rv0869c	moaA2	intermediate metabolism and respiration	Identical		NE	NE
Mb0894c	Rv0870c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0895	Rv0871	cspB	virulence, detoxification,adaptation	Identical		NE	NE
Mb0896c	Rv0872c	PE_PGRS15	PE/PPE	Variable	Elongated protein in M. bovis	NE	NE
Mb0897	Rv0873	fadE10	lipid metabolism	Identical		NE	NE
Mb0898c	Rv0874c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0899c	Rv0875c	-	cell wall and cell processes	Identical		NE	NE
Mb0900c	Rv0876c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0901	Rv0877	-	Conserved hypothetical protein	Identical		NE	GA
Mb0902c	Rv0878c	PPE13	PE/PPE	Variable	Truncated protein in M. bovis	NE	GA
Mb0903c	Rv0879c	-	cell wall and cell processes	Identical		NE	NE
Mb0904	Rv0880	-	regulatory proteins	Identical		NE	NE
Mb0905	Rv0881	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0906	Rv0882	-	cell wall and cell processes	Identical		NE	NE
Mb0907c	Rv0883c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0908c	Rv0884c	serC	intermediate metabolism and respiration	Identical		NE	ES
Mb0909	Rv0885	-	Conserved hypothetical protein	Identical		NE	NE
Mb0910	Rv0886	fprB	intermediate metabolism and respiration	Identical		NE	NE
Mb0911c	Rv0887c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0912	Rv0888	-	cell wall and cell processes	Identical		NE	NE
Mb0913c	Rv0889c	citA	intermediate metabolism and respiration	Identical		NE	NE
Mb0914c	Rv0890c	-	regulatory proteins	Variable	Non-syn SNP(s)	NE	NE
Mb0915c	Rv0891c	-	regulatory proteins	Variable	Non-syn SNP(s)	NE	NE
Mb0916	Rv0892	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0917c	Rv0893c	-	lipid metabolism	Identical		NE	NE
Mb0918	Rv0894	-	regulatory proteins	Identical		NE	NE
Mb0919	Rv0895	-	lipid metabolism	Identical		ES	NE
Mb0920	Rv0896	gltA2	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	GD
Mb0921c	Rv0897c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0922c	Rv0898c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0923	Rv0899	ompA	cell wall and cell processes	Identical		NE	NE
Mb0924	Rv0900	-	cell wall and cell processes	Identical		NE	NE
Mb0925	Rv0901	-	cell wall and cell processes	Identical		ES	NE
Mb0926c	Rv0902c	prrB	regulatory proteins	Identical		GD	ES
Mb0927c	Rv0903c	prrA	regulatory proteins	Identical		GD	ES
Mb0928c	Rv0904c	accD3	lipid metabolism	Identical		NE	NE
Mb0929	Rv0905	echA6	lipid metabolism	Identical		NE	NE
Mb0930	Rv0906	-	Conserved hypothetical protein	Identical		NE	NE
Mb0931	Rv0907	-	cell wall and cell processes	Variable	Truncated protein in M. bovis AF2122/97	NE	NE
Mb0932	Rv0908	ctpE	cell wall and cell processes	Identical		NE	NE
Mb0933	Rv0909	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb0934	Rv0910	-	Conserved hypothetical protein	Identical		NE	NE
Mb0935	Rv0911	-	Conserved hypothetical protein	Identical		NE	NE
Mb0936	Rv0912	-	cell wall and cell processes	Identical		NE	NE
Mb0937c	Rv0913c	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0938c	Rv0914c	-	lipid metabolism	Identical		NE	NE
Mb0939c	Rv0915c	PPE14	PE/PPE	Identical		GD	NE
Mb0940c	Rv0916c	PE7	PE/PPE	Identical		NE	NE
Mb0941	Rv0917	betP	cell wall and cell processes	Identical		NE	NE
Mb0942	Rv0918	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb0943	Rv0919	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0944c	Rv0920c	-	insertion seqs and phages	Variable	Non-syn SNP(s)	NE	NE
Mb0945	Rv0921	-	insertion seqs and phages	Identical		NE	NE
Mb0946	Rv0922	-	insertion seqs and phages	Identical		NE	NE
Mb0947c	Rv0923c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0948c	Rv0925c	mntH	cell wall and cell processes	Variable	Base deletion(s) leading to gene fusion event in M. bovis AF2122/97	NE	NE
Mb0949c	Rv0926c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0950c	Rv0927c	-	intermediate metabolism and respiration	Identical		GD	NE
Mb0951	Rv0928	pstS3	cell wall and cell processes	Identical		GD	NE
Mb0952	Rv0929	pstC2	cell wall and cell processes	Identical		NE	NE
Mb0953	Rv0930	pstA1	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0954c	Rv0931c	pknDb	regulatory proteins	Variable	Frameshift in M. bovis	NE	GA
Mb0955c	Rv0931c	pknDa	regulatory proteins	Variable	Frameshift in M. bovis	NE	GA
Mb0956c	Rv0932c	pstS2	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0957	Rv0933	pstBa	cell wall and cell processes	Variable	Frameshift in M. bovis AF2122/97	NE	NE
Mb0958	Rv0933	pstBb	cell wall and cell processes	Variable	Frameshift in M. bovis AF2122/97	NE	NE
Mb0959	Rv0934	pstS1	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0960	Rv0935	pstC1	cell wall and cell processes	Identical		NE	NE
Mb0961	Rv0936	pstA2	cell wall and cell processes	Identical		NE	NE
Mb0962c	Rv0937c	-	information pathways	Identical		GD	NE
Mb0963	Rv0938	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0964	Rv0939	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0965c	Rv0940c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0966c	Rv0941c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0967	Rv0942	-	Conserved hypothetical protein	Identical		NE	NE
Mb0968c	Rv0943c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0969	Rv0944	-	information pathways	Identical		NE	NE
Mb0970	Rv0945	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	ES	NE
Mb0971c	Rv0946c	pgi	intermediate metabolism and respiration	Identical		NE	NE
Mb0972c	Rv0947c	-	lipid metabolism	Identical		NE	0
Mb0973c	Rv0948c	-	intermediate metabolism and respiration	Identical		GD	NE
Mb0974	Rv0949	uvrD1	information pathways	Identical		NE	NE
Mb0975c	Rv0950c	-	Conserved hypothetical protein	Identical		ES	NE
Mb0976	Rv0951	sucC	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	ES	ES
Mb0977	Rv0952	sucD	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	ES
Mb0978c	Rv0953c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb0979	Rv0954	-	cell wall and cell processes	Identical		ES	NE
Mb0980	Rv0955	-	cell wall and cell processes	Identical		ES	NE
Mb0981	Rv0956	purN	intermediate metabolism and respiration	Identical		ES	ES
Mb0982	Rv0957	purH	intermediate metabolism and respiration	Identical		NE	ES
Mb0983	Rv0958	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb0984	Rv0959	-	Conserved hypothetical protein	Identical		NE	NE
Mb0984A	Rv0959A	len: 73 aa. Equivalent to Rv0959A len: 73 aa	virulence, detoxification,adaptation	Identical		NE	NE
Mb0985	Rv0960	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb0986	Rv0961	-	cell wall and cell processes	Identical		NE	NE
Mb0987c	Rv0962c	lprP	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0988c	Rv0963c	-	Conserved hypothetical protein	Identical		NE	NE
Mb0989c	Rv0964c	-	conserved hypotheticals 	Variable	Non-syn SNP(s)	NE	NE
Mb0990c	Rv0965c	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb0991c	Rv0966c	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb0992	Rv0967	-	regulatory proteins	Identical		NE	NE
Mb0993	Rv0968	-	Conserved hypothetical protein	Identical		NE	NE
Mb0994	Rv0969	ctpV	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb0995	Rv0970	-	cell wall and cell processes	Identical		NE	NE
Mb0996c	Rv0971c	echA7	lipid metabolism	Identical		NE	NE
Mb0997c	Rv0972c	fadE12	lipid metabolism	Variable	Non-syn SNP(s)	NE	NE
Mb0998c	Rv0973c	accA2	lipid metabolism	Variable	Non-syn SNP(s)	ES	NE
Mb0999c	Rv0974c	accD2	lipid metabolism	Variable	Non-syn SNP(s)	NE	NE
Mb1000c	Rv0975c	fadE13	lipid metabolism	Variable	Truncated protein in M. bovis AF2122/97	NE	NE
Mb1001c	Rv0976c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1002	Rv0977	PE_PGRS16	PE/PPE	Identical		NE	GA
Mb1003c	Rv0978c	PE_PGRS17	PE/PPE	Variable	Elongated protein in M. bovis	NE	GA
Mb1004c	Rv0979c	-	Conserved hypothetical protein	Identical		NE	GA
Mb1005	Rv0979A	rpmF	information pathways	Identical		NE	GA
Mb1006c	Rv0980c	PE_PGRS18	PE/PPE	Variable	Non-syn SNP(s)	NE	GA
Mb1007	Rv0981	len: 228 aa. Equivalent to Rv0981 len: 228 aa	regulatory proteins	Variable	Non-syn SNP(s)	ES	GA
Mb1008	Rv0982	mprB	regulatory proteins	Variable	Non-syn SNP(s)	NE	ES
Mb1009	Rv0983	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb1010	Rv0984	moaB2	intermediate metabolism and respiration	Identical		NE	NE
Mb1011c	Rv0985c	mscL	cell wall and cell processes	Identical		NE	NE
Mb1012	Rv0986	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb1013	Rv0987	-	cell wall and cell processes	Variable	Frameshift in M. bovis AF2122/97	NE	NE
Mb1014	Rv0987	-	cell wall and cell processes	Variable	Frameshift in M. bovis AF2122/97	NE	NE
Mb1015	Rv0988	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb1016c	Rv0989c	grcC2	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb1017c	Rv0990c	-	conserved hypotheticals 	Variable	Non-syn SNP(s)	NE	NE
Mb1018c	Rv0991c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1019c	Rv0992c	-	conserved hypotheticals	Variable	Non-syn SNP(s)	ES	NE
Mb1020	Rv0993	galU	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	ES
Mb1021	Rv0994	moeA1	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb1022	Rv0995	rimJ	information pathways	Identical		NE	NE
Mb1023	Rv0996	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb1024	Rv0997	-	Conserved hypothetical protein	Identical		NE	NE
Mb1025	Rv0998	-	Conserved hypothetical protein	Identical		NE	NE
Mb1026	Rv0999	-	Conserved hypothetical protein	Identical		NE	NE
Mb1027c	Rv1000c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1028	Rv1001	arcA	intermediate metabolism and respiration	Identical		NE	NE
Mb1029c	Rv1002c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	GD
Mb1030	Rv1003	-	Conserved hypothetical protein	Identical		NE	NE
Mb1031c	Rv1004c	-	cell wall and cell processes	Identical		NE	NE
Mb1032c	Rv1005c	pabB	intermediary metabolism and respiration	Variable	Elongated protein in M. bovis AF2122/97	NE	ES
Mb1033	Rv1006	-	conserved hypotheticals 	Variable	Non-syn SNP(s)	ES	GA
Mb1034c	Rv1007c	metS	information pathways	Variable	Non-syn SNP(s)	NE	ES
Mb1035	Rv1008	tatD	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb1036	Rv1009	rpfB	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb1037	Rv1010	ksgA	information pathways	Identical		ES	NE
Mb1038	Rv1011	ispE	intermediate metabolism and respiration	Identical		NE	ES
Mb1040	Rv1012	-	conserved hypotheticals 	Variable	Base insertion(s) leading to gene fusion event in M. bovis AF2122/97	NE	NE
Mb1041	Rv1013	pks16	lipid metabolism	Identical		ES	NE
Mb1042c	Rv1014c	pth	intermediate metabolism and respiration	Identical		NE	GD
Mb1043c	Rv1015c	rplY	information pathways	Identical		NE	GD
Mb1044c	Rv1016c	lpqT	cell wall and cell processes	Variable	Deletion, Elongated protein in M. bovis AF2122/97	ES	NE
Mb1045c	Rv1017c	prsA	intermediate metabolism and respiration	Identical		ES	ES
Mb1046c	Rv1018c	glmU	cell wall and cell processes	Variable	Non-syn SNP(s)	ES	ES
Mb1047	Rv1019	-	regulatory proteins	Identical		NE	NE
Mb1048	Rv1020	mfd	information pathways	Identical		NE	NE
Mb1049	Rv1021	-	Conserved hypothetical protein	Identical		NE	NE
Mb1050	Rv1022	lpqU	cell wall and cell processes	Variable	Non-syn SNP(s)	ES	NE
Mb1051	Rv1023	eno	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	ES	GD
Mb1052	Rv1024	-	cell wall and cell processes	Identical		ES	ES
Mb1053	Rv1025	-	Conserved hypothetical protein	Identical		NE	ES
Mb1054	Rv1026	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb1055c	Rv1027c	kdpE	regulatory proteins	Identical		NE	NE
Mb1056c	Rv1028c	kdpD	regulatory proteins	Variable	Non-syn SNP(s)	NE	NE
Mb1057	Rv1028A	kdpF	cell wall and cell processes	Identical		NE	NE
Mb1058	Rv1029	kdpA	cell wall and cell processes	Identical		NE	NE
Mb1059	Rv1030	kdpB	cell wall and cell processes	Identical		NE	NE
Mb1060	Rv1031	kdpC	cell wall and cell processes	Identical		NE	NE
Mb1061c	Rv1032c	trcS	regulatory proteins	Identical		NE	NE
Mb1062c	Rv1033c	trcR	regulatory proteins	Identical		NE	GA
Mb1063c	Rv1034c	-	insertion seqs and phages	Identical		NE	0
Mb1064c	Rv1035c	-	insertion seqs and phages	Identical		NE	0
Mb1065c	Rv1036c	-	insertion seqs and phages	Identical		NE	0
Mb1066c	Rv1037c	esxI	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	GA
Mb1067c	Rv1038c	esxJ	cell wall and cell processes	Identical		NE	GA
Mb1068c	Rv1039c	PPE15	PE/PPE	Identical		NE	GA
Mb1069c	Rv1040c	PE8	PE/PPE	Identical		NE	GA
Mb1070c	Rv1041c	-	insertion seqs and phages	Variable	Truncated protein in M. bovis AF2122/97	NE	GA
Mb1071c	Rv1042c	-	insertion seqs and phages	Variable	Non-syn SNP(s)	NE	GA
Mb1072c	Rv1043c	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	GA
Mb1073	Rv1044	-	Conserved hypothetical protein	Identical		NE	ES
Mb1074	Rv1045	-	conserved hypotheticals 	Variable	Non-syn SNP(s)	NE	NE
Mb1075c	Rv1046c	-	conserved hypotheticals 	Variable		NE	0
Mb1076	Rv1047	-	insertion seqs and phages	Identical		NE	NE
Mb1077c	Rv1048c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1078	Rv1049	-	regulatory proteins	Identical		NE	NE
Mb1079	Rv1050	-	intermediate metabolism and respiration	Identical		NE	NE
Mb1080c	Rv1051c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1081	Rv1052	-	Conserved hypothetical protein	Identical		NE	NE
Mb1082c	Rv1053c	-	Conserved hypothetical protein	Identical		NE	0
Mb1083	Rv1054	-	insertion seqs and phages	Identical		NE	0
Mb1084	Rv1055	-	insertion seqs and phages	Identical		NE	0
Mb1085	Rv1056	-	Conserved hypothetical protein	Identical		NE	NE
Mb1086	Rv1057	-	Conserved hypothetical protein	Identical		NE	NE
Mb1087	Rv1058	fadD14	lipid metabolism	Identical		NE	NE
Mb1088	Rv1059	-	Conserved hypothetical protein	Identical		NE	NE
Mb1089	Rv1060	-	Conserved hypothetical protein	Identical		NE	NE
Mb1090	Rv1061	-	Conserved hypothetical protein	Identical		NE	NE
Mb1091	Rv1062	-	Conserved hypothetical protein	Identical		NE	NE
Mb1092c	Rv1063c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1093c	Rv1064c	lpqV	cell wall and cell processes	Identical		NE	NE
Mb1094	Rv1065	-	Conserved hypothetical protein	Identical		NE	NE
Mb1095	Rv1066	-	Conserved hypothetical protein	Identical		NE	NE
Mb1096c	Rv1067c	PE_PGRS19	PE/PPE	Variable	Elongated protein in M. bovis	NE	NE
Mb1097c	Rv1068c	PE_PGRS20	PE/PPE	Variable	Elongated protein in M. bovis	NE	NE
Mb1098c	Rv1069c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1099c	Rv1070c	echA8	lipid metabolism	Identical		NE	NE
Mb1100c	Rv1071c	echA9	lipid metabolism	Identical		NE	NE
Mb1101	Rv1072	-	cell wall and cell processes	Identical		NE	NE
Mb1102	Rv1073	-	Conserved hypothetical protein	Identical		NE	NE
Mb1103c	Rv1074c	fadA3	lipid metabolism	Identical		NE	NE
Mb1104c	Rv1075c	-	cell wall and cell processes	Identical		NE	NE
Mb1105	Rv1076	lipU	intermediate metabolism and respiration	Identical		NE	NE
Mb1106	Rv1077	cbs	intermediate metabolism and respiration	Identical		NE	NE
Mb1107	Rv1078	pra	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb1108	Rv1079	metB	intermediate metabolism and respiration	Identical		NE	NE
Mb1109c	Rv1080c	greA	information pathways	Identical		NE	NE
Mb1110c	Rv1081c	-	cell wall and cell processes	Identical		NE	NE
Mb1111	Rv1082	mca	virulence, detoxification,adaptation	Identical		NE	NE
Mb1112	Rv1083	-	Conserved hypothetical protein	Identical		NE	NE
Mb1113	Rv1084	-	Conserved hypothetical protein	Identical		NE	NE
Mb1114c	Rv1085c	-	virulence, detoxification,adaptation	Identical		ES	NE
Mb1115	Rv1086	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb1116	Rv1087	PE_PGRS21	PE/PPE	Variable	Elongated protein in M. bovis	NE	NE
Mb1116A	Rv1087A	-	cell wall and cell processes	Identical		ES	0
Mb1117	Rv1088	PE9	PE/PPE	Identical		NE	NE
Mb1118	Rv1089	PE10	PE/PPE	Variable	Truncated protein in M. bovis	NE	0
Mb1119	Rv1089A	celA2a	intermediate metabolism and respiration	Identical		NE	0
Mb1120	Rv1090	celA2b	intermediate metabolism and respiration	Identical		NE	0
Mb1121	Rv1091	PE_PGRS22	PE/PPE	Variable	Truncated protein in M. bovis	ES	NE
Mb1122c	Rv1092c	coaA	intermediate metabolism and respiration	Identical		NE	ES
Mb1123	Rv1093	glyA1	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	ES	ES
Mb1124	Rv1094	desA2	lipid metabolism	Identical		NE	ES
Mb1125	Rv1095	phoH2	intermediate metabolism and respiration	Identical		NE	NE
Mb1126	Rv1096	-	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	GD	NE
Mb1127c	Rv1097c	-	cell wall and cell processes	Variable	Non-syn SNP(s)	ES	NE
Mb1128c	Rv1098c	fum	intermediate metabolism and respiration	Identical		NE	ES
Mb1129c	Rv1099c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb1130	Rv1100	-	Conserved hypothetical protein	Identical		NE	NE
Mb1131c	Rv1101c	-	cell wall and cell processes	Variable	Truncated protein in M. bovis AF2122/97	NE	NE
Mb1132c	Rv1102c	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb1133c	Rv1103c	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb1134	Rv1104	-	intermediate metabolism and respiration	Identical		NE	0
Mb1135	Rv1105	-	intermediate metabolism and respiration	Identical		NE	0
Mb1136c	Rv1106c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb1137c	Rv1107c	xseB	information pathways	Identical		NE	NE
Mb1138c	Rv1108c	xseA	information pathways	Identical		NE	NE
Mb1139c	Rv1109c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1140	Rv1110	lytB2	cell wall and cell processes	Identical		NE	ES
Mb1141c	Rv1111c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1142	Rv1112	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb1143	Rv1113	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb1144	Rv1114	-	virulence, detoxification,adaptation	Identical		NE	NE
Mb1145	Rv1115	-	cell wall and cell processes	Variable	Non-syn SNP(s)	NE	NE
Mb1146	Rv1116	-	Conserved hypothetical protein	Identical		NE	NE
Mb1147c	Rv1116A	-	Conserved hypothetical protein	Identical		NE	0
Mb1148	Rv1117	-	Conserved hypothetical protein	Identical		NE	NE
Mb1149c	Rv1118c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1150c	Rv1119c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1151c	Rv1120c	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb1152	Rv1121	zwf1	intermediate metabolism and respiration	Identical		ES	NE
Mb1153	Rv1122	gnd2	intermediate metabolism and respiration	Identical		NE	ES
Mb1154c	Rv1123c	bpoB	virulence, detoxification,adaptation	Identical		NE	NE
Mb1155	Rv1124	ephC	virulence, detoxification,adaptation	Identical		NE	NE
Mb1156	Rv1125	-	conserved hypotheticals	Variable	Non-syn SNP(s)	NE	NE
Mb1157c	Rv1126c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1158c	Rv1127c	ppdK	intermediary metabolism and respiration	Variable	Non-syn SNP(s)	NE	NE
Mb1159c	Rv1128c	-	insertion seqs and phages	Variable	Non-syn SNP(s)	NE	NE
Mb1160c	Rv1129c	-	regulatory proteins	Identical		NE	NE
Mb1161	Rv1130	-	conserved hypotheticals	Variable	Non-syn SNP(s)	ES	NE
Mb1162	Rv1131	gltA1	intermediate metabolism and respiration	Identical		GD	NE
Mb1163	Rv1132	-	cell wall and cell processes	Variable	Non-syn SNP(s)	ES	NE
Mb1164c	Rv1133c	metE	intermediate metabolism and respiration	Identical		NE	ES
Mb1165	Rv1134	-	Conserved hypothetical protein	Identical		NE	NE
Mb1166c	Rv1135c	PPE16	PE/PPE	Identical		NE	NE
Mb1167	Rv1135A	-	lipid metabolism	Identical		NE	0
Mb1168	Rv1136	-	lipid metabolism	Identical		NE	0
Mb1169c	Rv1137c	-	Conserved hypothetical protein	Identical		NE	0
Mb1170c	Rv1138c	-	intermediate metabolism and respiration	Identical		NE	NE
Mb1171c	Rv1139c	-	cell wall and cell processes	Identical		NE	NE
Mb1172	Rv1140	-	cell wall and cell processes	Identical		NE	NE
Mb1173c	Rv1141c	echA11	lipid metabolism	Identical		NE	NE
Mb1174c	Rv1142c	echA10	lipid metabolism	Identical		NE	NE
Mb1175	Rv1143	mcr	lipid metabolism	Identical		NE	GA
Mb1176	Rv1144	-	intermediate metabolism and respiration	Identical		NE	GA
Mb1177	Rv1146	mmpL13	cell wall and cell processes	Variable	Base insertion(s) leading to gene fusion event in M. bovis AF2122/97	NE	GA
Mb1178	Rv1147	-	Conserved hypothetical protein	Identical		NE	GA
Mb1179c	Rv1148c	-	Conserved hypothetical protein	Identical		NE	NE
Mb1180	Rv1149	-	insertion seqs and phages	Identical		NE	NE
Mb1181	Rv1150	-	insertion seqs and phages	Identical		NE	0
Mb1182c	Rv1151c	-	regulatory proteins	Identical		NE	NE
Mb1183	Rv1152	-	regulatory proteins	Identical		NE	NE
Mb1184c	Rv1153c	omt	lipid metabolism	Variable	Non-syn SNP(s)	NE	NE
Mb1185c	Rv1154c	-	conserved hypotheticals 	Variable	Non-syn SNP(s)	NE	NE
